"","prompt","Generation","label"
"13","Coronavirus could hurt Boeing more than the 737 Max crisis","Boeing may be more adversely affected by the coronavirus crisis than the 737 Max crisis, according to Michael Boyd, an aviation analyst at the British brokerage firm Liberum. Boyd said in a note to investors Tuesday that Boeing may be hit harder because its other 737 models are more susceptible to the virus than the Maxes.""The 737 Max issue is likely to blow over relatively quickly and inflict relatively modest damage on Boeing's prospects,"" Boyd wrote. ""Meanwhile, the coronavirus crisis is likely to be a long-term drag on the company's bottom line.""The 737 Max is Boeing's most popular model. Out of the roughly 1,500 planes in Boeing's 737 fleet, only a handful are Maxes. But the Maxes are more susceptible to the virus because they have a new design that is not as airtight as older planes. The Maxes were grounded after two Ethiopian Airlines planes crashed in March, both killing all 237 people on board.The crash of a Max-carrying Ethiopian Airlines jet in Ethiopia in March killed all 237 people on board.Boeing has already lost $516 million as a result of the Max grounding, Boyd wrote. He added that the company could lose as much as $1.5 billion over the next nine months if the Max planes remain grounded. Boyd cited data fromDialog Analytics that shows that Max-related cancellations could drive a 9 percent decline in Boeing's quarterly profit.","GPT3"
"14","Hong Kong protests: How unrest criminalized a generation","In response to financial market destabilization and public dissatisfaction with China's increasing influence in their affairs, Hong Kong residents took to the streets in September 2014 to protest government measures they viewed as favoring mainlandChina.The protests turned violent, with police using pepper spray and pepper balls to disperse crowds in what became known as the ""Umbrella Revolution."" Hundreds of people were arrested and charged with various offenses, including vandalism, assault, and unlawful assembly.The series of protests has had a lasting impact on Hong Kong youth, who are now more likely to face criminal charges and prison sentences if they take to the streets to express their dissent.As the protests have shifted from peaceful protests to criminal behavior, many are concerned that Hong Kong's youth will become increasingly marginalized and unable to participate in democratic processes.","GPT3"
"15","Christmas in Hong Kong marked by demonstrations and tear gas","Christmas in Hong Kong marked by demonstrations and tear gasA wave of protests and tear gas engulfed the Christmas holiday in Hong Kong as students and activists tried to blockade central business districts.","GPT3"
"16","New arts district aims to brighten Chennai community's dark reputation","Since its inception in November of last year, the new arts district in Chennai, India, has been striving to change the city's notoriously dark reputation. The district, which spans about 22 acres and is located near the city's commercial center, houses a museum, a performing arts center, and other art spaces.The district's goal is to provide a space for the city's artists and musicians to create and share their work, as well as to provide a more sustainable way of life for the district's inhabitants. In addition to working to change the city's image, the district is also hoping to create jobs, stimulate the local economy, and develop tourism in the area.The arts district has so far been successful in attracting both locals and tourists; in fact, the district has already attracted several major art exhibitions, festivals, and concerts. Additionally, the district is currently in the process of developing a sustainable infrastructure, including a park and a waste management system.","GPT3"
"17","From east Paris to world fame -- how imagination and travel fueled Christian Louboutin's success","Christian Louboutin had a rough start.Born in eastern Paris in 1958, Louboutin struggled in school and felt like he was never good enough. He found his passion in shoe design, however, and in 1987 started making shoes in his mother's kitchen.But Louboutin's true success wouldn't come until he began traveling and imagining new ways to make his shoes. He would take his sketches and designs to different countries and meet with craftspeople to get inspiration.This creativity and wanderlust eventually led to Louboutin's big break: the 1999 film ""Eternal Sunshine of the Spotless Mind"" featured his shoes prominently. The film's producers saw Louboutin's shoes and contacted him to create a special edition for the movie's soundtrack.This small step led to Louboutin becoming one of the world's most famous shoe designers. His shoes can be found on the feet of celebrities, models and everyday people all over the world.","GPT3"
"18","12 famous buildings in India: From ancient wonders to modern marvels","1. Qutub Minar, Delhi2. Taj Mahal, Agra3. Mughal Empire Palace, Agra4. Red Fort, Delhi5. Eden Gardens, Kolkata6. Golconda Fort, Hyderabad7. Chhatrapati Shivaji Maharaj Terminus, Mumbai8. Jama Masjid, Delhi9. The Golden Temple, Amritsar10. Fort William, Calcutta11. Sarnath Temple, Varanasi12. Victoria Memorial, Kolkata","GPT3"
"19","Coronavirus: Which countries have travel bans?","Belgium, Bulgaria, China, Egypt, France, Hong Kong, Italy, Morocco, Qatar, Saudi Arabia, Singapore, Spain, Thailand, Turkey, United Arab Emirates, United Kingdom, Yemen","GPT3"
"20","Mount Everest closed over coronavirus fears","Mount Everest, the world's highest mountain, was closed to climbers Thursday due to fears of a coronavirus pandemic.","GPT3"
"21","With society shutting down will Tokyo 2020 go ahead?","The Japanese government has stated that it would like to see the 2020 Tokyo Olympic and Paralympic Games proceed even if society is closed down, so it is likely that the games will still take place. However, it is still possible that some events could be cancelled or moved to other venues if the situation does become too dangerous.","GPT3"
"22","Despite coronavirus concerns, Inter Milan president Steven Zhang confident Serie A season will be completed","Zhang is confident that Serie A will be completed despite coronavirus concerns.“I have full faith in the Italian football federation and Serie A,” Zhang told reporters on Thursday.“Of course we are worried, but we will continue to perform our responsibilities in the best way possible.”Zhang also said Inter are “working day and night” to keep their players safe.“Our focus is on the players, on protecting them and on implementing the best possible health and safety measures,” he said.Inter Milan are Just one of the clubs in Serie A currently battling to keep their players safe from the coronavirus.The virus has so far claimed the lives of seven people, including two Footballers Club Internazionale Milano (AC Milan) players, Diego Laxalt and Davide Santon.","GPT3"
"23","Coronavirus threat to Tokyo 2020 is 'heartbreaking,' says surfer Kanoa Igarashi","Tokyo 2020 officials have condemned the spread of coronavirus as ""heartbreaking,"" with one surfer fearing the disease could ruin the Olympic Games.Kanoa Igarashi, who won a silver medal in the women's shark finNING competition at the Rio de Janeiro Olympics, told The Guardian newspaper it was ""really scary"" to hear about the outbreak of the virus in the Middle East.""As an athlete, you want to represent your country and bring home a medal, but now it seems like the coronavirus could ruin the Tokyo Olympics,"" Igarashi said.Tokyo 2020 spokesman Hisashi Uchida said the Games could be in danger if the world's health officials do not find a way to stop the virus from spreading.""The situation is heart-wrenching. If the virus spreads, it could cause enormous damage not just to the Middle East, but also to global economies and the Olympic Games themselves,"" Uchida said.Tokyo 2020 officials have already contacted international counterparts to help with the Games, and have said they will do everything in their power to protect athletes and visitors.As of Monday, there have been 38 cases of the virus in people in the Middle East, Europe and North America, with 11 of those fatalities.","GPT3"
"24","A state-by-state breakdown of US coronavirus cases","As of September 30, 2019, there are a total of 37 confirmed coronavirus cases in the United States. Of these cases, 29 (73%) have been reported from 10 states: Arizona (8 cases), California (8 cases), Colorado (2 cases), Florida (5 cases), Illinois (3 cases), Kentucky (1 case), Maryland (1 case), Missouri (1 case), New York (2 cases), and Texas (6 cases). The remaining 10 cases were reported from other states. No cases have been reported from Puerto Rico.","GPT3"
"25","Why the impact of coronavirus could be particularly bad on college campuses","Coronavirus can be particularly bad for college campuses because of the close physical and social interaction that can occur on campuses. This interaction can allow the virus to spread more easily and cause more serious health problems for students. Additionally, colleges are often busy and stressful environments that can heighten the risk of mental health issues leading to the spread of coronavirus.","GPT3"
"26","Diplomat at the UN tests positive for coronavirus","A diplomat at the UN who tested positive for the coronavirus has been evacuated from the organization, multiple media outlets are reporting.The diplomat, who has not been publicly identified, is the sixth person to test positive for the virus since September. A source told the Associated Press that the diplomat is in stable condition and is receiving care at a hospital in Germany.The World Health Organization has warned that the virus is “spreading rapidly” and could cause a global pandemic. So far, there have been five confirmed cases of the virus, all of which have been in people who have travelled to Saudi Arabia, Nigeria, and Qatar.","GPT3"
"27","What the US can learn from Singapore's coronavirus strategy","The United States can learn a lot about how to deal with coronavirus from Singapore. Singapore was one of the first countries to publicly announce a coronavirus case, and has been very proactive in responding to the virus.Singapore has placed tight restrictions on who can travel to the country, and has implemented a ban on air travel to several countries in the Middle East and Africa. Singapore has also encouraged people who are sick to stay home, and has opened up temporary shelters to accommodate those who are sick.The United States has been slow to react to the coronavirus, and has been less proactive in limiting travel. The US has also been unable to locate a single case of the virus. In contrast, Singapore has identified and isolated a number of people who have contracted the virus.Singapore has also been able to stock up on supplies of vaccine and antiviral medications, and has been prepared to deal with the spread of the virus.Overall, Singapore has done a better job of responding to the coronavirus than the United States has. The United States can learn a lot from Singapore's experience in dealing with the virus.","GPT3"
"28","The disease expert who warned us"," about ZikaDr. Anthony Fauci, the Director of National Institutes of Health's National Institute of Allergy and Infectious Diseases, made the now-famous statement about Zika cautioning the public about what the virus could do. He said that the virus is ""quite dangerous,"" and could cause birth defects if a pregnant woman is infected.","GPT3"
"29","Angelina Jolie: What we must do for Afghan women","First and foremost, we must provide access to education for Afghan women. This is the key to unlocking their potential and giving them the opportunity to be successful in their future. It is also important that we provide them with safe and healthy homes, and ensure that they have access to economic opportunities to improve their lives.","GPT3"
"30","Latest Headlines on CNN Business","1. Sears Files for BankruptcySears Holdings, Inc. filed for Chapter 11 bankruptcy on Monday, bringing an end to its 138-year history. The company had been in trouble for years, failing to keep up with online competition and losing money from online sales.2. Trump Administration Rolls Back Obama-Era Rules on Climate ChangeThe Trump administration has announced that it is rolling back Obama-era regulations on climate change, a move that environmental groups say will Accelerate the worst effects of climate change.3. Toys 'R' Us Files for BankruptcyToys ""R"" Us, one of the biggest toy retailers in the world, filed for bankruptcy on Monday. The company had been struggling for years, losing money due to competition from online retailers and a shift in American children's spending away from toys.","GPT3"
"31","Latest Headlines on CNN Business","-Intel announces $15 billion investment in new plant in Arizona-Uber driver shortage expected to worsen with new driver-app policies-Walmart reports better-than-expected earnings","GPT3"
"32","Latest Headlines on CNN Business","","GPT3"
"33","Rugby World Cup 2019","The Rugby World Cup 2019 is an international rugby union tournament being held in Japan from September 20 to November 2, 2019. The tournament will be the 21st World Cup and the first to be hosted by Japan. The tournament is being organised by World Rugby and is the inaugural edition of the new Rugby World Cup cycle.The tournament will feature 16 teams, with the hosts Japan automatically qualifying. The other 15 teams will be determined by a qualifying process, which will involve each of the six members of the Rugby World Cup Sevens tournament (excluding Japan) competing in a series of qualifying tournaments. The top two teams from each tournament will qualify for the World Cup.The fixtures for the tournament were announced on May 2, 2019.The World Cup will be broadcast in over 150 countries and territories.The Rugby World Cup 2019 logo was designed by London-based graphic designer Chris Yip and unveiled on March 27, 2019.","GPT3"
"34","The movies that predicted an outbreak like coronavirus","Outbreak, which was released in 2007, is a movie about a pandemic that is spread through contact with the bodily fluids of infected people. The movie is set in a hospital and stars Meryl Streep and Colin Farrell. Outbreak also features a song by Cee Lo Green.7 Days, a 2009 thriller, is about a deadly virus that is spreading through the world’s airports. The movie stars Dennis Quaid and Rosario Dawson and was directed by Michael Bay.Zombieland, a 2009 zombie movie, is set in a post-apocalyptic world where a virus has caused the deaths of most of the population. The movie stars Woody Harrelson, Jesse Eisenberg, and Emma Stone and was directed by Ruben Fleischer.","GPT3"
"35","Orlando Bloom coming home to self-quarantine","""I have to come home and quarantine myself,"" Orlando Bloom told Access Hollywood on Saturday after arriving back in Los Angeles.Bloom and his wife, Miranda Kerr, were in Sydney, Australia, celebrating their first anniversary when they caught the measles.""We both got a fever, and tests came back that we both had measles. So we came home and we're just waiting to hear back from our doctor as to when the best time to come out is and just try and keep ourselves healthy while we're here,"" Bloom said.","GPT3"
"36","Tom Hanks and Rita Wilson share update after coronavirus diagnosis","Tom Hanks and Rita Wilson took to Instagram on Wednesday to share an update on their health following a diagnosis of the coronavirus. The couple wrote, ""It's been a tough few days, but we're all feeling a lot better now. Thank you all for your thoughts and prayers.""","GPT3"
"37","'Bloodshot' brings Vin Diesel back to life in a superhero-like origin story","CLOSE The first trailer for 'Bloodshot' features Vin Diesel reprising his role from the 'Fast and Furious' movies. TimeVin Diesel is back as the iconic character Bloodshot in the new film ""Bloodshot,"" which brings him back to life in a superhero-like origin story.""Bloodshot"" is set in the present day and follows Rhen Talon, a man who has been resurrected with a military grade cybernetics system that gives him the power to shoot bloodlust bullets. With the help of a team of outcasts, Rhen Talon uses his new abilities to take on the government and save the world.Diesel plays Rhen Talon, with ""Kingsman"" star Taron Egerton as his sidekick, Bullet. Other cast members include Manuel Garcia-Rulfo as Father, Tony Goldwyn as the Speaker, and Camilla Belle as Mary.""Bloodshot"" is directed by Dave Wilson and written by Greg Russo and Derek Kolstad. It is set to be released in theaters on September 22.CLOSE Marvel releases first footage from 'Avengers: Endgame' and it's safe to say the Internet is here for it. Veuer's Sam Berman has the full story. Buzz60More: Marvel Cinematic Universe: Everything we know about 'Avengers: Endgame'Read or Share this story: https://www.usatoday.com/story/entertainment/movies/2019/07/19/vin-diesel-bloodshot-returns-life-superhero-origin-story/1738309001/","GPT3"
"38","Jay Electronica finally releases debut album"," 'Sampler'Houston rap artist and producer, Jay Electronica, has released his debut album, ""Sampler,"" the first of many planned releases. Jay, born Najee Ali, has worked with veteran producers such as Pharrell Williams and Dr. Dre, crafting an album that blends alternative hip-hop, R&B, and electronica.The album is a compilation of unheard material and features appearances by American rappers 2 Chainz, Rick Ross, and Nas, among others.","GPT3"
"39","'A Quiet Place II' release delayed by coronavirus","A Quiet Place II has been delayed by Paramount Pictures after a coronavirus outbreak in the United States.","GPT3"
"40","'Bachelor' Peter Weber and Madison Prewett split days after dramatic finale","Peter Weber and Madison Prewett broke up days after their dramatic finale on Monday night's Bachelor.""After 7 months of dating, Madison and I have decided to end our relationship,"" Weber, 27, wrote on Instagram on Tuesday. ""We both have had a blast and will always remember our time together. Thank you everyone for supporting us. <3""Prewett, 26, also shared a statement on Instagram, writing that she ""loved"" Weber and wants to remain friends.""After 7 months of dating and travel and adventure, I loved Peter more than anything. I was so excited to see what this relationship could become. I know he is talented, funny and so wonderful. I hope to remain friends and continue to support his career and endeavors.""Weber and Prewett met on the fourth episode of the ABC reality telenovela and got engaged on the show's finale.","GPT3"
"41","Pete Davidson doesn't exactly stretch much in 'Big Time Adolescence'","Pete Davidson doesn't exactly stretch much in 'Big Time Adolescence.'","GPT3"
"42","Serena Williams to spend the next 6 weeks in solitude","Serena Williams will spend the next six weeks in quiet contemplation, to give her a much-needed break from the demands of professional tennis.","GPT3"
"43","Gloria Gaynor fights coronavirus by taking her hit song 'I Will Survive' to the sink","Gloria Gaynor took her classic hit song 'I Will Survive' to the sink in a demo to fight the coronavirus.The song has been used by stars like Demi Lovato and Selena Gomez to help them fight the virus, and Gaynor decided to do the same. She posted a video of herself singing the song while standing in front of a running faucet, with the words 'Coronavirus? I will survive' written on the screen.","GPT3"
"44","'Riverdale' halts Season 4 production over coronavirus","The fourth season of SYFY's ""Riverdale"" was halted on Tuesday after several cast and crew members became infected with the coronavirus.","GPT3"
"45","Gayle King tells Oprah she's 'moved on' from Kobe Bryant controversy","© Provided by The Hollywood ReporterQueen of talk-show hosts Gayle King has publicly moved on from her controversial interview with NBA legend Kobe Bryant, in which he spoke about his relationship with Amber Rose.""It was interesting talking to him, and I'm moved on from it,"" Gayle said on CBS' ""The Talk"" on Monday. ""I thought it was a really interesting conversation.""Gayle appeared on ""The Talk"" to promote her book, ""The Power of Intention,"" which was released last week. She also talked about her conversations with celebrities, who she revealed are more open than ever to discussing their personal lives.Gayle's interview with Kobe aired on 60 Minutes on Sunday night. Responding to a question about whether Rose had ever been physical with him, Bryant said: ""No, not really. I mean, she's thrown her arm around my waist once or twice, but she's never really done anything else.""""It was a pretty strange interview,"" Gayle added. ""I really didn't know what to expect.""","GPT3"
"46","Tom Hanks and Rita Wilson: What we know","The two starred in the 2010 romantic comedy ""The Proposal."" They are also longtime friends.","GPT3"
"47","Kate Beckinsale posts powerful response to Harvey Weinstein's prison sentence","Harvey Weinstein will spend 1⁄2 year in prison for sexual assault.I can't believe he's going to jail.I want to say something really powerful, but I don't know how to put it into words.I want to scream until my voice is gone.I want to hit something really hard.But I can't.I can only stand here in shock and grief.This is not how things were supposed to end.Not for me, not for the women who were brave enough to speak up, not for the children who were witness to this abuse.This is not justice.This is not right.","GPT3"
"48","Jerry Seinfeld postpones New York City shows"," to filmComedian Jerry Seinfeld has postponed his New York City stand-up performances due to filming commitments for his sitcom "" Comedian Jerry Seinfeld has postponed his New York City stand-up performances due to filming commitments for his sitcom "" Comedian .""","GPT3"
"49","Tom Hanks and Rita Wilson's family speak out after coronavirus diagnosis","The family of the Oscar-winning actor and his wife, Rita Wilson, released a statement Friday morning after Hanks was diagnosed with the coronavirus.","GPT3"
"50","Justin Timberlake and Anderson .Paak duet on funky 'Don't Slack'","Before his solo album, 'The Game Plan,' drops on September 15th, Jimi Hendrix collaborator and neo soul singer Anderson .Paak teams up with Grammy-winner and chart-topping funk master, Timbaland, for the funky new track 'Don't Slack.' The track is taken from Timberlake and Paak's upcoming collaborative album, currently untitled.'Don't Slack' seems to be paying homage to Paak's home country of South Africa with its infectious groove and infectious energy. With Timbaland at the production helm, the track is sure to get your feet moving with its funky beats.Timberlake and Paak have collaborated before, notably on the Britney Spears hit 'Make Me...' from Timberlake's 2013 album 'The 20/20 Experience.' The duo also team up on the track 'United State of Jones' from Paak's 2015 album 'Oxnard.'Listen to 'Don't Slack' below and be sure to check out Timberlake and Paak's upcoming album when it's released later this year.","GPT3"
"51","'The View' and more shows suspend studio audiences over coronavirus","ABC, CBS, NBC, Fox and Univision have all suspended live studio audience shows in the wake of the highly contagious coronavirus that has killed over 30 people.","GPT3"
"52","'The Hunt' leverages the partisan divide as a hook to sell an exploitation throwback","""The Hunt"" is a new video game from the makers of ""Destiny."" In the game, players take on the role of ruthless hunters whotrack and kill members of a rival faction.The game's advertising heavily features Republican figures like President Donald Trump and Vice President Mike Pence, who the ad argues are working to ""destroy our freedom.""The game's trailer opens with a logo for the conservative nonprofit America First Policies, which was founded by Trump adviser Stephen K. Bannon.The game's premise is that the hunter faction is fighting to protect freedom, while the faction in opposition is trying to destroy it.The game is available on consoles and PC.Critics say that the game's Republican focus is a cynical ploy to exploit the partisan divide.""The Hunt"" is available now on consoles and PC.","GPT3"
"53","Time's Up and others react to Harvey Weinstein sentence","Time's Up founder Tarana Burke tweeted, ""This is a moment of reckoning for every person who has ever been complicit in this kind of behavior. Time's up."""" monumental day for women,"" actress Alyssa Milano wrote on Twitter. ""Though we still have so much work ahead of us, this is a step in the right direction.""""Innocent Until Proven Guilty"" director Brett Ratner, who has been accused of sexual misconduct by more than dozen women, tweeted, ""There is no excuse for sexual assault - ever. I am sorry.""""My heart feels heavy as I see yet another abuser receive a slap on the wrist,"" actress Alyssa Milano wrote on Twitter. ""Women have been talking about this for years and years and nothing has changed. Time's up.""""This is a moment of reckoning for every person who has ever been complicit in this kind of behavior,"" Time's Up founder Tarana Burke tweeted. ""Time's up.""","GPT3"
"54","Matt Lucas takes over from Sandi Toksvig as 'The Great British Bake Off' host","Lucas, 56, is best known for his role as Nigel Farage in the comedy drama series ‘BoJack Horseman’.He will take over the reins from Sandi Toksvig who hosted the show for two seasons.The BBC said: ""Following the success of the first two series of 'The Great British Bake Off', the BBC has announced that Lucas will take over from Sandi Toksvig as presenter from series 3 onwards.""Lucas said: ""I'm so thrilled to be taking on the role of host of The Great British Bake Off.""When I was growing up, Bake Off was one of my favourite shows and I can't wait to see the new series premiere and meet the bakers.""I hope that, with the help of the lovely bakers, we can make this show as exciting and rewarding as it always has been.""Toksvig said: ""It's been an amazing privilege to team up with Paul [Merton] and Noel [Fielding] as Bake Off's co-hosts over the past two years, and I'm so sad to be leaving.""But I'm excited about the future and can't wait to see what Andrew and the team at the BBC come up with next.""","GPT3"
"55","Jenna Dewan welcomes new baby"," girlJenna Dewan Tatum welcomed her first child with husband Channing Tatum on Tuesday. The actress, 34, took to Instagram to announce the news and shared a sweet photo of her and her husband holding their new baby girl. ""Happy news! We are proud to announce that we have a beautiful daughter named Everly Dewan Tatum,"" she wrote. ""We love you so much, Everly."" The couple married in November 2017.","GPT3"
"56","Kumail Nanjiani recreated buff movie scenes because we still deserve nice things","What would our lives be like if Kumail Nanjiani recreated some of our favorite buff movie scenes?1) When Thor accidentally swings Mjolnir too hard and catches Loki in the face.2) When Deadpool shoots the screen in the face with a sniper shot.3) When Indy uses the whip to crack the whip at the Nazis.4) When Arnie just casually swings his ax and chops the heads off the zombies.5) When Sly uses his dancing skills to take down Dr.fang.6) When Bruce Wayne just casually flexes his biceps.7) When John McClane casually shoots the tires of the truck.8) When Han Solo just casually throws his knife.9) When Gandalf just casually waves his hand.10) When Luke Skywalker just casually uses the Force.11) When the guy at the gym just casually hits the treadmill at the perfect speed.12) When the guy at the gym just casually throws the weights in the perfect direction.13) When the guy at the gym just casually whispers “let’s go” in your ear.14) When the guy at the gym just casually says “lift heavy” and you know what to do.","GPT3"
"57","TV shows to watch if you're in the mood to lean into your worries","Netflix: Stranger ThingsBlack MirrorThe CrownWestworld HBO: Better ThingsBig Little LiesThe Young Pope","GPT3"
"58","What's streaming on Netflix, Hulu and Amazon in March"," 2019?Netflix is the only streaming service to release new content in March 2019. The following titles will be available on March 1st:March 1stPacific Rim UprisingTed 2WheelmanWentworth Season 2Hulu is the only streaming service to release new content in March 2019. The following titles will be available on March 6th:March 6thA Silent VoiceThe Haunting of Hill HouseKong: Skull IslandThe ActLord of the Rings: The Fellowship of the RingThe Lord of the Rings: The Two TowersThe Lord of the Rings: The Return of the KingYou are the Worst Season 4Amazon is the only streaming service to release new content in March 2019. The following titles will be available on March 12th:March 12thThe Marvelous Mrs. Maisel Season 5The Wonders Season 1","GPT3"
"59","TV shows to help you find your happy place right now","Happy Place is a new Netflix show that follows a group of people who venture out to find their happy place and use it as a way to de-stress and get some perspective on their lives. The first episode is available to stream now.Mindfulness is another show that has been proven to help with stress relief. The first episode is available to watch for free on the PBS website.If you're looking for a comedy series to help you find your happy place, check out Master of None. The series follows the life of an actor in New York City and the various challenges and tribulations that come with making it in the entertainment industry. The first season is available to stream on Netflix.","GPT3"
